corsa;partenza;localita_partenza;arrivo;localita_arrivo
2;09:10;PESCHIERA;14:00;RIVA
3;15:15;RIVA;20:10;PESCHIERA
5;08:50;RIVA;14:00;DESENZANO
6;15:00;DESENZANO;20:05;RIVA
8;08:20;DESENZANO;09:35;GARDA
9;09:35;GARDA;11:20;DESENZANO
10;11:30;DESENZANO;13:10;GARDA
11;14:15;GARDA;15:25;PESCHIERA
12;15:30;PESCHIERA;16:35;GARDA
13;16:55;GARDA;18:25;DESENZANO
14;08:00;PESCHIERA;09:00;GARDA
15;08:28;LAZISE;10:05;DESENZANO
16;10:15;DESENZANO;13:00;MADERNO
17;14:00;MADERNO;17:05;DESENZANO
18;17:10;DESENZANO;18:20;GARDA
19;18:20;GARDA;19:20;PESCHIERA
22;08:55;DESENZANO;10:37;LAZISE
23;10:00;GARDA;11:05;PESCHIERA
24;11:20;PESCHIERA;14:05;MALCESINE CENTRO
25;15:05;MALCESINE CENTRO;17:55;PESCHIERA
26;18:00;PESCHIERA;19:10;GARDA
27;18:29;LAZISE;20:15;DESENZANO
28;08:00;DESENZANO;09:51;GARDONE
29;09:51;GARDONE;12:45;DESENZANO
30;13:45;DESENZANO;16:30;GARDONE
31;16:30;GARDONE;19:20;DESENZANO
33;08:35;GARDA;09:35;PESCHIERA
34;09:45;PESCHIERA;11:10;GARDA
35;11:10;GARDA;12:10;PESCHIERA
36;13:10;PESCHIERA;15:25;GARDA
37;15:30;GARDA;16:30;PESCHIERA
38;16:35;PESCHIERA;17:35;GARDA
39;17:35;GARDA;19:00;PESCHIERA
40;08:15;DESENZANO;08:45;MANERBA (DUSANO)
41;08:45;MANERBA (DUSANO);09:40;SIRMIONE
42;09:40;SIRMIONE;11:00;GARDA
43;11:00;GARDA;13:20;PESCHIERA
44;14:20;PESCHIERA;15:37;MANERBA (DUSANO)
45;15:37;MANERBA (DUSANO);16:25;DESENZANO
46;16:35;DESENZANO;17:21;MANERBA (DUSANO)
47;17:21;MANERBA (DUSANO);18:10;DESENZANO
48;18:15;DESENZANO;18:58;MANERBA (DUSANO)
49;18:58;MANERBA (DUSANO);19:45;DESENZANO
61;08:00;RIVA;08:55;MALCESINE CENTRO
62;08:55;MALCESINE CENTRO;10:00;RIVA
63;10:05;RIVA;11:15;MALCESINE CENTRO
64;11:15;MALCESINE CENTRO;12:35;RIVA
65;13:35;RIVA;14:30;MALCESINE CENTRO
66;14:30;MALCESINE CENTRO;15:45;RIVA
67;15:50;RIVA;16:35;MALCESINE CENTRO
68;16:35;MALCESINE CENTRO;17:45;RIVA
69;17:50;RIVA;18:45;MALCESINE CENTRO
70;18:45;MALCESINE CENTRO;19:30;RIVA
71;08:40;RIVA;09:45;MALCESINE CENTRO
72;09:45;MALCESINE CENTRO;11:00;RIVA
73;11:10;RIVA;12:25;MALCESINE CENTRO
74;12:25;MALCESINE CENTRO;13:30;RIVA
75;14:30;RIVA;15:45;MALCESINE CENTRO
